brand,carName,carImg,saleVolume,price,manufacturer,rank,carModel,energyType,marketTime,insure
长安,长安UNI-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/16e21ac894654caebd0997e976d3bebf~tplv-resize:640:0.png,4941,9.69-12.19万,长安汽车,108,紧凑型车,汽油,2024.03,3年或10万公里
奇瑞,瑞虎9,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/caa1cbaa09cb482696fed72e71514aaa~tplv-resize:640:0.png,4914,13.79-19.49万,奇瑞汽车,109,中型SUV,汽油,2024.04,3年或10万公里
方程豹,豹5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/5c4dd30eca44470a917d366c05db05b5~tplv-resize:640:0.png,4876,23.98-30.28万,方程豹,110,中型SUV,插电式混合动力,2024.04,6年或15万公里
宝马,宝马X1,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c9c9c02010874036a2f03c203ca1238a~tplv-resize:640:0.png,4863,17.89-29.99万,华晨宝马,111,紧凑型SUV,汽油,2024.08,3年或10万公里
北京,北京BJ30,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/448e361c30114bf38bc4f1c09495a63f~tplv-resize:640:0.png,4817,9.99-13.69万,北京汽车,112,紧凑型SUV,汽油,2024.05,5年或15万公里
蔚来,蔚来ET5T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a03cf015743343d0aa5a45c8b02551c9~tplv-resize:640:0.png,4755,29.80-35.60万,蔚来,113,中型车,纯电动,2024.02,3年或12万公里
深蓝汽车,深蓝SL03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/89bf7774d79f44eab5d9acca6ba8712e~tplv-resize:640:0.png,4747,12.49-68.49万,深蓝汽车,114,中型车,增程式,2024.02,3年或12万公里
沃尔沃,沃尔沃XC60,https://p9-dcd.byteimg.com/img/motor-mis-img/058f6dd326221149f0f7d23aec62600c~tplv-resize:640:0.png,4723,26.29-29.90万,沃尔沃亚太,115,中型SUV,48V轻混系统,2024.06,3年不限公里
丰田,雷凌,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/4be933594d45455592d516c912d27b69~tplv-resize:640:0.png,4721,6.88-10.88万,广汽丰田,116,紧凑型车,汽油,2024.03,3年或10万公里
零跑汽车,零跑T03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/464986d3ad5845e9aac85a6960479de0~tplv-resize:640:0.png,4599,4.39-6.39万,零跑汽车,117,微型车,纯电动,2024.03,3年或12万公里
奇瑞,瑞虎7,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e8e158030a88406daaa7c7466c5f27ed~tplv-resize:640:0.png,4581,6.99-12.97万,奇瑞汽车,118,紧凑型SUV,汽油,2024.05,3年或10万公里
长安启源,长安启源A07,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8a84daad1c4b416aac405f4ec61a2e4c~tplv-resize:640:0.png,4563,13.59-16.59万,长安启源,119,中大型车,纯电动,2024.05,3年或15万公里
本田,型格,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bc48ceffe1394c528b45bb3a5042f890~tplv-resize:640:0.png,4512,8.09-13.79万,广汽本田,120,紧凑型车,汽油,2024.03,3年或10万公里
极氪,ZEEKR 007,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f9acb99754df465cb03c1e813c2da7b8~tplv-resize:640:0.png,4491,20.99-29.99万,极氪,121,中型车,纯电动,2024.08,4年或10万公里
奔腾,奔腾B70,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/39774d70f0c445a88fa3a332502c53e3~tplv-resize:640:0.png,4480,8.99-12.89万,一汽奔腾,122,中型车,汽油,2024.04,3年或10万公里
奥迪,奥迪A3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/bed15598b2964894805e3c74db0e7e23~tplv-resize:640:0.png,4400,14.90-17.90万,一汽奥迪,123,紧凑型车,汽油,2023.10,3年或10万公里
iCAR,iCAR 03,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/82dbd5e3acb94713afb3cb4da2dfaa68~tplv-resize:640:0.png,4358,10.98-16.98万,奇瑞新能源,124,紧凑型SUV,纯电动,2024.02,4年或12万公里
长安欧尚,长安欧尚X5 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a4616746e0c748508ba07e1c3909e58f~tplv-resize:640:0.png,4356,7.19-9.69万,长安汽车,125,紧凑型SUV,汽油,2023.04,3年或10万公里
坦克,坦克300,https://p3-dcd.byteimg.com/img/motor-mis-img/53d89e20ef5df0119912ecfc6db642ae~tplv-resize:640:0.png,4318,19.98-33.00万,长城汽车,126,紧凑型SUV,汽油,2023.08,5年或15万公里
奔驰,奔驰GLB,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/05ab32d0a1b6462fa97ed1ecb0b2b183~tplv-resize:640:0.png,4295,24.19-36.78万,北京奔驰,127,紧凑型SUV,汽油,2023.08,3年不限公里
本田,思域,https://p3-dcd.byteimg.com/img/motor-mis-img/af835d978de92b8342d900c8473c8d88~tplv-resize:640:0.png,4282,7.99-13.79万,东风本田,128,紧凑型车,汽油,2022.12,3年或10万公里
大众,T-ROC探歌,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/854d92c324144a8baf7f4a1229768f5e~tplv-resize:640:0.png,4271,11.39-13.49万,一汽-大众,129,紧凑型SUV,汽油,2024.01,3年或10万公里
福特,蒙迪欧,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/906ddc04083b4f7e946d84d2e8a08293~tplv-resize:640:0.png,4267,13.98-20.98万,长安福特,130,中型车,油电混合,2024.06,3年或10万公里
ARCFOX极狐,极狐 阿尔法T5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/67e354e4850c48c4bd343e14d2fac9c5~tplv-resize:640:0.png,4260,12.40-16.80万,北汽新能源,131,中型SUV,纯电动,2023.12,3年或12万公里
五菱汽车,五菱星光PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1abac11028e24418a06fdf357476c3dc~tplv-resize:640:0.png,3808,7.48-10.28万,上汽通用五菱,141,紧凑型车,插电式混合动力,2024.04,6年或15万公里
埃安,AION V,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/614a4621253c4dc798362d4a8600376e~tplv-resize:640:0.png,3779,12.98-18.98万,广汽埃安新能源,142,紧凑型SUV,纯电动,2024.07,4年或15万公里
奔腾,奔腾小马,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/be315b47d3bc4f28bad76776cebc25c4~tplv-resize:640:0.png,3759,2.49-3.19万,一汽奔腾,143,微型车,纯电动,2024.08,3年或10万公里
荣威,荣威i5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3deaa243484f4c34a254b5c212a8ad7a~tplv-resize:640:0.png,3740,4.99-7.19万,上汽集团,144,紧凑型车,汽油,2023.07,4年或15万公里
大众,ID.4 X,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d16a58d2e5694b7b84ba28604a6421e0~tplv-resize:640:0.png,3710,14.68-22.34万,上汽大众,145,紧凑型SUV,纯电动,2024.07,3年或10万公里
别克,别克GL8,https://p3-dcd.byteimg.com/img/motor-mis-img/1b5d71c459535ea55476f5dd7a91be6c~tplv-resize:640:0.png,3689,20.79-45.39万,上汽通用别克,146,中大型MPV,48V轻混系统,2023.02,3年或10万公里
坦克,坦克400 Hi4-T,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b9c63fd5aaea4d3d97f311a45b3d572f~tplv-resize:640:0.png,3510,28.58-28.98万,长城汽车,147,中大型SUV,插电式混合动力,2024.03,5年或15万公里
长安启源,长安启源Q05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d89973a091064602a82752ce8274ef5a~tplv-resize:640:0.png,3503,9.19-11.39万,长安启源,148,紧凑型SUV,插电式混合动力,2023.12,3年或15万公里
东风纳米,纳米01,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/9e7caf8eea3b4efcb788f49c5ae8fdc0~tplv-resize:640:0.png,3460,7.48-10.18万,东风汽车,149,小型车,纯电动,2024.08,3年不限里程
奥迪,奥迪Q3,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/1c04470ca1254ad18552cabef768699e~tplv-resize:640:0.png,3449,20.00-24.68万,一汽奥迪,150,紧凑型SUV,汽油,2023.08,3年或10万公里
长安,长安CS55 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8727a564bae045058a6c89a8395c2612~tplv-resize:640:0.png,3442,8.49-12.59万,长安汽车,151,紧凑型SUV,汽油,2023.09,3年或10万公里
奔腾,奔腾NAT,https://p3-dcd.byteimg.com/img/motor-mis-img/86e59b68321279091b353bb89ec0d411~tplv-resize:640:0.png,3344,13.98-16.18万,一汽奔腾,152,紧凑型MPV,纯电动,2023.02,3年或30万公里
大众,高尔夫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/64578c8e0b824a85acb54bef3bc70f05~tplv-resize:640:0.png,3324,12.28-13.88万,一汽-大众,153,紧凑型车,汽油,2024.07,3年或10万公里
凯迪拉克,凯迪拉克CT5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/293217d96dd84452b6267df0dd6df9cf~tplv-resize:640:0.png,3320,20.97-27.17万,上汽通用凯迪拉克,154,中型车,汽油,2023.12,3年不限公里
长安启源,长安启源A05,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/90024992da744ec1a944c8bca7fb6a3d~tplv-resize:640:0.png,3300,7.89-10.99万,长安启源,155,紧凑型车,插电式混合动力,2024.04,3年或15万公里
捷途,捷途X90,https://p9-dcd.byteimg.com/img/motor-mis-img/db9398d99c107b4ee74543a8fa39cc8a~tplv-resize:640:0.png,3282,12.99-16.29万,奇瑞汽车,156,中型SUV,汽油,2022.11,4年或10万公里
名爵,MG5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/538887c5e5624d198051131940fa559d~tplv-resize:640:0.png,3251,5.39-8.59万,上汽集团,157,紧凑型车,汽油,2024.09,3年或10万公里
领克,领克03,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f89333a7e71944f4b83eb00d0fdcb43b~tplv-resize:640:0.png,3235,11.88-42.03万,领克,158,紧凑型车,汽油,2024.08,4年或10万公里
极氪,ZEEKR 009,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/05e891a13ed246f8b3d28415a1735893~tplv-resize:640:0.png,3195,43.90-78.90万,极氪,159,中大型MPV,纯电动,2024.07,4年或10万公里
广汽传祺,传祺GS3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9bd75ad6814541c1a3692ae64670405d~tplv-resize:640:0.png,3087,6.98-9.68万,广汽传祺,160,小型SUV,汽油,2024.08,3年或10万公里
大众,ID.4 CROZZ,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/36142136c6134cffb5a91e3273ace471~tplv-resize:640:0.png,3061,13.98-23.74万,一汽-大众,161,紧凑型SUV,纯电动,2023.10,3年或10万公里
岚图,岚图梦想家 PHEV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/a34b5cd70b954cb1abb155118d94e8a4~tplv-resize:640:0.png,3051,30.99-63.99万,岚图汽车,162,中大型MPV,插电式混合动力,2023.10,5年或10万公里
坦克,坦克500 Hi4-T,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/d1d12a60d3544b438485a8e392d5b40f~tplv-resize:640:0.png,3017,33.50万,长城汽车,163,中大型SUV,插电式混合动力,2024.03,5年或15万公里
智己汽车,智己L6,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/aa0d805e20f84922b25399f4d0af94c6~tplv-resize:640:0.png,3013,20.99-32.59万,智己汽车,164,中大型车,纯电动,2024.05,5年或15万公里
奇瑞,风云A8,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e3779d73cdd0475ab7233abe59c2833d~tplv-resize:640:0.png,2986,9.99-12.99万,奇瑞汽车,165,紧凑型车,插电式混合动力,2024.01,3年或10万公里
别克,微蓝6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/550b6dc2a2c44e06a3e9b666927fa56f~tplv-resize:640:0.png,2962,9.28-14.89万,上汽通用别克,166,紧凑型车,纯电动,2023.10,3年或10万公里
广汽传祺,传祺M6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f64608b8a07c4434b2bc00a55ecb48b3~tplv-resize:640:0.png,2962,9.98-14.98万,广汽传祺,167,紧凑型MPV,汽油,2024.05,3年或10万公里
江铃集团新能源,小麒麟,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d13f128f45534d52b3ea09b9214b96b2~tplv-resize:640:0.png,2903,4.99-5.19万,江铃集团新能源,168,微型车,纯电动,2024.09,3年或6万公里
宝骏,云朵,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f7956c20545c4c87ba29f4b30e6caaf9~tplv-resize:640:0.png,2830,6.58-11.28万,上汽通用五菱,169,紧凑型车,纯电动,2023.08,3年或10万公里
smart,smart精灵#1,https://p3-dcd.byteimg.com/img/motor-mis-img/d3dc084ea15c3a5ddb79094343132daa~tplv-resize:640:0.png,2826,15.49-28.49万,smart,170,小型SUV,纯电动,2024.04,4年或15万公里
ARCFOX极狐,极狐 考拉,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/61a295098a194091a94639d40b5c10a6~tplv-resize:640:0.png,2825,11.98-15.88万,北汽新能源,171,紧凑型MPV,纯电动,2023.09,5年或12万公里
奇瑞新能源,QQ冰淇淋,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b949ba428bc143aeb2bcfdef93eb7f61~tplv-resize:640:0.png,2782,2.99-5.69万,奇瑞新能源,172,微型车,纯电动,2024.04,3年或10万公里
东风奕派,eπ008,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/03f8bbc977b94d8e8b4a0ff935844d82~tplv-resize:640:0.png,2768,18.86-19.36万,东风乘用车,173,中大型SUV,增程式,2024.06,3年或10万公里
别克,昂科威,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/f10147fd60e9445da78a7593c455a4be~tplv-resize:640:0.png,2765,15.89-25.59万,上汽通用别克,174,中型SUV,48V轻混系统,2024.03,3年或10万公里
捷达,捷达VA3,https://p9-dcd.byteimg.com/img/motor-mis-img/f79702d9c2dbaebafe617f329a66b999~tplv-resize:640:0.png,2762,6.58-9.28万,一汽-大众捷达,175,紧凑型车,汽油,2023.12,3年或10万公里
本田,英仕派,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/068adb9f4c04421fae8d8a372bc5cf0e~tplv-resize:640:0.png,2755,11.88-16.58万,东风本田,176,中型车,汽油,2024.04,3年或10万公里
ARCFOX极狐,极狐 阿尔法S5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/62b8d4dd26a34ec78aa9741491e89c54~tplv-resize:640:0.png,2752,12.90-18.50万,北汽新能源,177,中型车,纯电动,2024.08,3年12万公里
大众,揽巡,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/8c9d9e77cdf5462a86c515692b23c0e7~tplv-resize:640:0.png,2721,17.49-26.89万,一汽-大众,178,中大型SUV,汽油,2024.06,3年或10万公里
蔚来,蔚来ET5,https://p9-dcd.byteimg.com/img/motor-mis-img/6b3472130dfd56454f65df80d9f461f6~tplv-resize:640:0.png,2705,29.80-35.60万,蔚来,179,中型车,纯电动,2024.02,3年或12万公里
智己汽车,智己LS6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/1d808aff9bfd4dfa9ab5f7296c7c4544~tplv-resize:640:0.png,2677,21.99-28.19万,智己汽车,180,中大型SUV,纯电动,2023.10,5年或15万公里
奇瑞,瑞虎8L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/baa1b9b1cef8445ea3a8865168898f5d~tplv-resize:640:0.png,2667,11.99-16.49万,奇瑞汽车,181,中型SUV,汽油,2024.08,3年或10万公里
北京,北京BJ40,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/3a8235032015497c9b815308b121c4ba~tplv-resize:640:0.png,2645,13.98-26.99万,北京汽车,182,紧凑型SUV,汽油,2023.11,5年或15万公里
吉利银河,银河E8,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/de6b6d01181f4d3abb49d483614254cc~tplv-resize:640:0.png,2640,15.78-22.08万,吉利银河,183,中大型车,纯电动,2024.04,6年或15万公里
长安欧尚,长安欧尚Z6,https://p9-dcd.byteimg.com/img/motor-mis-img/252d100a630cf9298e8d357fe7ee8ffc~tplv-resize:640:0.png,2629,8.69-12.09万,长安汽车,184,紧凑型SUV,汽油,2023.06,3年或10万公里
东风奕派,eπ007,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/800b755e8da547419991b18a5767796c~tplv-resize:640:0.png,2576,12.96-16.96万,东风乘用车,185,中大型车,增程式,2024.08,3年或10万公里
岚图,岚图FREE,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/35252dbdd8d34ef7aacde273feaf5073~tplv-resize:640:0.png,2567,22.39-25.19万,岚图汽车,186,中大型SUV,增程式,2024.06,5年或10万公里
比亚迪,比亚迪e2,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b8781cd4b8d749f997db471d7ee5b563~tplv-resize:640:0.png,2524,8.98-14.78万,比亚迪,187,紧凑型车,纯电动,2024.03,6年或15万公里
奇瑞新能源,小蚂蚁,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/c582d200e0fe44c7b1b5f3b6134c8849~tplv-resize:640:0.png,2524,5.99-9.30万,奇瑞新能源,188,微型车,纯电动,2024.06,3年或12万公里
奥迪,奥迪A7L,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/dfe5bc8192d64010adf766872e11f634~tplv-resize:640:0.png,2520,33.87-55.42万,上汽奥迪,189,中大型车,汽油,2024.03,3年或10万公里
蔚来,蔚来EC6,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/e3362ddc7fbb4a13a303fc940c09d0fe~tplv-resize:640:0.png,2499,35.80-41.60万,蔚来,190,中型SUV,纯电动,2024.02,3年或12万公里
红旗,红旗HS3,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/130d0777d22c4e7aba7791c0ee645462~tplv-resize:640:0.png,2479,10.58-15.58万,一汽红旗,191,紧凑型SUV,汽油,2024.08,4年或10万公里
别克,威朗,https://p3-dcd.byteimg.com/img/motor-mis-img/f935e27660580af362e268ff6a476c00~tplv-resize:640:0.png,2475,6.89-9.89万,上汽通用别克,192,紧凑型车,汽油,2021.08,3年或10万公里
本田,奥德赛,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/77ceb3fa8b664dfd8457a5b57ef84042~tplv-resize:640:0.png,2411,17.88-38.28万,广汽本田,193,中型MPV,油电混合,2023.06,3年或10万公里
小鹏汽车,小鹏G9,https://p3-dcd.byteimg.com/img/motor-mis-img/57c7fd76817fb6148dce372c42acc18c~tplv-resize:640:0.png,2400,24.39-33.99万,小鹏汽车,194,中大型SUV,纯电动,2023.09,5年或12万公里
马自达,马自达CX-5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/cd0afa2cba3f4fba8cfdac2c4417a60b~tplv-resize:640:0.png,2400,12.08-19.28万,长安马自达,195,紧凑型SUV,汽油,2023.09,3年或10万公里
魏牌,蓝山,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/b2fc30a2a36d424ebde60c4da44d95b6~tplv-resize:640:0.png,2358,27.38-32.68万,长城汽车,196,中大型SUV,插电式混合动力,2024.08,5年或15万公里
日产,奇骏,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5ae572c93a99402d89bab23657b64d6e~tplv-resize:640:0.png,2331,12.39-24.29万,东风日产,197,紧凑型SUV,汽油电驱,2024.08,3年或10万公里
哪吒汽车,哪吒X,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ce9a2157eb844cfe81d8020bdbe80f9d~tplv-resize:640:0.png,2297,8.98-12.48万,合众汽车,198,紧凑型SUV,纯电动,2024.08,4年或12万公里
沃尔沃,沃尔沃S60,https://p9-dcd.byteimg.com/img/motor-mis-img/917e910a69010277adf7b04033758613~tplv-resize:640:0.png,2251,18.90-25.81万,沃尔沃亚太,199,中型车,48V轻混系统,2024.06,3年不限公里
星途,星途凌云,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/5c148c7aebaa49d088572ea19ef19c25~tplv-resize:640:0.png,2186,12.99-16.99万,星途,200,中型SUV,汽油,2024.07,3年或10万公里
沃尔沃,沃尔沃S90,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/d0dcc7887fa74d1bb726f006f313adb2~tplv-resize:640:0.png,2186,29.85-36.30万,沃尔沃亚太,201,中大型车,48V轻混系统,2024.06,3年不限公里
林肯,航海家,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/29eba35b90744e8ab786e72e5173c153~tplv-resize:640:0.png,2024,30.08-44.38万,长安林肯,211,中型SUV,汽油,2024.09,5年或14万公里
比亚迪,宋L EV,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7a2cd16842634bdfa34c1169b8c02ee0~tplv-resize:640:0.png,2022,17.98-24.98万,比亚迪,212,中型SUV,纯电动,2024.08,6年或15万公里
东风风神,皓瀚,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7a07d88623a346058756af5631710351~tplv-resize:640:0.png,2017,8.69-12.19万,东风乘用车,213,紧凑型SUV,汽油,2024.03,3年或10万公里
丰田,普拉多,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/497f52d1db1740f1b91746f1b6b65de2~tplv-resize:640:0.png,1997,45.97-54.97万,一汽丰田,214,中大型SUV,油电混合,2024.04,3年或10万公里
起亚,赛图斯,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7fe56786e2be481da4a141a6d9364052~tplv-resize:640:0.png,1996,8.99-12.99万,起亚,215,紧凑型SUV,汽油,2023.04,3年或10万公里
长安欧尚,长安欧尚X7 PLUS,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/792f6cb783e54f76b76081f54eb719ad~tplv-resize:640:0.png,1980,7.79-12.19万,长安汽车,216,紧凑型SUV,汽油,2023.04,3年或10万公里
零跑汽车,零跑C01,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/7f0665963c5840f1b242d1f14a6e970c~tplv-resize:640:0.png,1942,13.68-15.88万,零跑汽车,217,中大型车,纯电动,2024.03,4年或12万公里
大众,大众CC,https://p3-dcd.byteimg.com/img/motor-mis-img/bc1a1cfcace04020b804932bd5c78749~tplv-resize:640:0.png,1927,16.69-21.79万,一汽-大众,218,中型车,汽油,2024.07,3年或10万公里
奇瑞,艾瑞泽5,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/aef5212cbadd4c05a9c450eaed0813e1~tplv-resize:640:0.png,1915,5.29-6.89万,奇瑞汽车,219,紧凑型车,汽油,2023.10,3年或10万公里
上汽大通MAXUS,大通G50,https://p3-dcd.byteimg.com/img/motor-mis-img/1f8cf3e8aa8da7a93d7fa90a0ed6e5d6~tplv-resize:640:0.png,1903,7.78-14.08万,上汽大通,220,紧凑型MPV,汽油,2024.03,3年或6万公里
荣威,荣威RX5,https://p3-dcd.byteimg.com/img/motor-mis-img/50e4ec0931df36a7ac8c841a023e5a60~tplv-resize:640:0.png,1861,7.49-13.59万,上汽集团,221,紧凑型SUV,汽油,2022.08,3年或10万公里
福特,探险者,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/4718cc920fa24de891a1cd3f89773729~tplv-resize:640:0.png,1850,29.48-39.98万,长安福特,222,中大型SUV,汽油,2024.09,3年或10万公里
吉利几何,吉利几何E萤火虫,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/ab171bed6a464941a57445172e7bf752~tplv-resize:640:0.png,1833,5.98-8.28万,吉利几何,223,小型SUV,纯电动,2024.03,4年或10万公里
奔驰,奔驰A级,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/f3aa2146a74d47e3ab4844b147234e37~tplv-resize:640:0.png,1828,25.12-27.56万,北京奔驰,224,紧凑型车,汽油,2024.03,3年不限公里
奇瑞,探索06,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/e9d6773aab6241fa8d8e33e4e4162519~tplv-resize:640:0.png,1824,8.99-15.29万,奇瑞汽车,225,紧凑型SUV,汽油,2024.08,3年或10万公里
本田,本田HR-V,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/24baeca15ca34c83a4e9ceaf09de58ea~tplv-resize:640:0.png,1666,11.59-18.49万,东风本田,231,紧凑型SUV,汽油,2024.04,3年或10万公里
领克,领克06 EM-P,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/0b14beda740d47ea8db4e20cec55f377~tplv-resize:640:0.png,1659,12.28-14.28万,领克,232,小型SUV,插电式混合动力,2023.11,5年或10万公里
阿维塔,阿维塔 12,https://p3-dcd.byteimg.com/img/tos-cn-i-dcdx/9f103ca925eb42b0af887cc4011f7193~tplv-resize:640:0.png,1657,26.58-37.88万,阿维塔科技,233,中大型车,纯电动,2024.03,5年或12万公里
雪佛兰,科鲁泽,https://p9-dcd.byteimg.com/img/motor-mis-img/f63e0947469ae2d9cee05bbdc33f514f~tplv-resize:640:0.png,1626,5.99-7.39万,上汽通用雪佛兰,234,紧凑型车,汽油,2023.06,3年或10万公里
蓝电,蓝电E5,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/a85640b7405f4d3889bc55d63edbd0c8~tplv-resize:640:0.png,1608,9.98-15.19万,赛力斯蓝电汽车,235,中型SUV,插电式混合动力,2024.04,6年或15万公里
捷途,捷途山海L9,https://p9-dcd.byteimg.com/img/tos-cn-i-dcdx/b9e5ca8991bf4b4e958169de5c91d192~tplv-resize:640:0.png,1595,15.69-17.89万,奇瑞汽车,236,中型SUV,插电式混合动力,2023.11,4年或10万公里
